task_id,task_name,baseline_start,duration_months,duration_weeks,duration_days,duration_hours,overtime_hours,complexity,weather_contingency,general_contingency,rework_risk,risk_factor,base_cost,total_cost,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost
C2011-07_11,Contacting suppliers and sending proposal,2010-05-17 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,802.911,802.911,500.48,0.0,0.0,2.502,10.06,20.522,7.696,5.13,20.522,15.391,12.826,0.0,7.696,2.565,5.13,10.261,10.261,12.826,7.696,7.696,7.696,10.261,12.826,12.826,10.261,5.13,5.13,2.565,2.565,2.565,10.261,17.956,7.696,7.696,10.261,2.565,0.0,15.391
C2011-07_12,Analyzing the received offers,2010-06-09 08:00:00,0,0,3,0,0.0,0.2,0.0,0.05,0.0,1.25,1204.365,1204.365,750.72,0.0,0.0,3.754,15.089,30.783,11.543,7.696,30.783,23.087,19.239,0.0,11.543,3.848,7.696,15.391,15.391,19.239,11.543,11.543,11.543,15.391,19.239,19.239,15.391,7.696,7.696,3.848,3.848,3.848,15.391,26.935,11.543,11.543,15.391,3.848,0.0,23.087
C2011-07_13,Presentation to board & ICT staff,2010-07-12 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,7752.914,7752.914,4832.64,0.0,0.0,24.163,97.136,198.158,74.309,49.539,198.158,148.618,123.848,0.0,74.309,24.77,49.539,99.079,99.079,123.848,74.309,74.309,74.309,99.079,123.848,123.848,99.079,49.539,49.539,24.77,24.77,24.77,99.079,173.388,74.309,74.309,99.079,24.77,0.0,148.618
C2011-07_14,Collecting and registering comments on offers,2010-08-03 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,401.456,401.456,250.24,0.0,0.0,1.251,5.03,10.261,3.848,2.565,10.261,7.696,6.413,0.0,3.848,1.283,2.565,5.13,5.13,6.413,3.848,3.848,3.848,5.13,6.413,6.413,5.13,2.565,2.565,1.283,1.283,1.283,5.13,8.978,3.848,3.848,5.13,1.283,0.0,7.696
C2011-07_15,Taking final decision and contacting supplier,2010-09-15 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,802.911,802.911,500.48,0.0,0.0,2.502,10.06,20.522,7.696,5.13,20.522,15.391,12.826,0.0,7.696,2.565,5.13,10.261,10.261,12.826,7.696,7.696,7.696,10.261,12.826,12.826,10.261,5.13,5.13,2.565,2.565,2.565,10.261,17.956,7.696,7.696,10.261,2.565,0.0,15.391
C2011-07_16,Discussing project development with supplier,2010-09-17 08:00:00,0,0,3,0,0.0,0.2,0.0,0.05,0.0,1.25,1204.365,1204.365,750.72,0.0,0.0,3.754,15.089,30.783,11.543,7.696,30.783,23.087,19.239,0.0,11.543,3.848,7.696,15.391,15.391,19.239,11.543,11.543,11.543,15.391,19.239,19.239,15.391,7.696,7.696,3.848,3.848,3.848,15.391,26.935,11.543,11.543,15.391,3.848,0.0,23.087
C2011-07_17,Discussing project development with board,2010-11-15 13:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,2990.259,2990.259,1863.92,0.0,0.0,9.32,37.465,76.428,28.661,19.107,76.428,57.321,47.768,0.0,28.661,9.554,19.107,38.214,38.214,47.768,28.661,28.661,28.661,38.214,47.768,47.768,38.214,19.107,19.107,9.554,9.554,9.554,38.214,66.875,28.661,28.661,38.214,9.554,0.0,57.321
C2011-07_18,Final agreement with supplier,2010-12-28 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,802.911,802.911,500.48,0.0,0.0,2.502,10.06,20.522,7.696,5.13,20.522,15.391,12.826,0.0,7.696,2.565,5.13,10.261,10.261,12.826,7.696,7.696,7.696,10.261,12.826,12.826,10.261,5.13,5.13,2.565,2.565,2.565,10.261,17.956,7.696,7.696,10.261,2.565,0.0,15.391
C2011-07_19,Signing contract,2010-12-30 08:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,88834.717,88834.717,373.52,55000.0,0.0,276.868,1113.008,2270.536,851.451,567.634,2270.536,1702.902,1419.085,0.0,851.451,283.817,567.634,1135.268,1135.268,1419.085,851.451,851.451,851.451,1135.268,1419.085,1419.085,1135.268,567.634,567.634,283.817,283.817,283.817,1135.268,1986.719,851.451,851.451,1135.268,283.817,0.0,1702.902
C2011-07_20,Meeting with ICT committee,2010-04-26 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,4347.738,4347.738,2710.08,0.0,0.0,13.55,54.473,111.124,41.672,27.781,111.124,83.343,69.453,0.0,41.672,13.891,27.781,55.562,55.562,69.453,41.672,41.672,41.672,55.562,69.453,69.453,55.562,27.781,27.781,13.891,13.891,13.891,55.562,97.234,41.672,41.672,55.562,13.891,0.0,83.343
C2011-07_21,Contacting Siemens and sending proposal,2010-05-07 08:00:00,0,0,3,0,0.0,0.2,0.0,0.05,0.0,1.25,1204.365,1204.365,750.72,0.0,0.0,3.754,15.089,30.783,11.543,7.696,30.783,23.087,19.239,0.0,11.543,3.848,7.696,15.391,15.391,19.239,11.543,11.543,11.543,15.391,19.239,19.239,15.391,7.696,7.696,3.848,3.848,3.848,15.391,26.935,11.543,11.543,15.391,3.848,0.0,23.087
C2011-07_22,Discussing project development with supplier,2010-05-26 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,802.911,802.911,500.48,0.0,0.0,2.502,10.06,20.522,7.696,5.13,20.522,15.391,12.826,0.0,7.696,2.565,5.13,10.261,10.261,12.826,7.696,7.696,7.696,10.261,12.826,12.826,10.261,5.13,5.13,2.565,2.565,2.565,10.261,17.956,7.696,7.696,10.261,2.565,0.0,15.391
C2011-07_23,Discussing progress with board,2010-06-04 08:00:00,0,0,0,2,0.0,0.2,0.0,0.05,0.0,1.25,1495.128,1495.128,931.96,0.0,0.0,4.66,18.732,38.214,14.33,9.554,38.214,28.661,23.884,0.0,14.33,4.777,9.554,19.107,19.107,23.884,14.33,14.33,14.33,19.107,23.884,23.884,19.107,9.554,9.554,4.777,4.777,4.777,19.107,33.437,14.33,14.33,19.107,4.777,0.0,28.661
C2011-07_24,Discussing progress with ICT committee,2010-06-08 10:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,1086.937,1086.937,677.52,0.0,0.0,3.388,13.618,27.781,10.418,6.945,27.781,20.836,17.363,0.0,10.418,3.473,6.945,13.891,13.891,17.363,10.418,10.418,10.418,13.891,17.363,17.363,13.891,6.945,6.945,3.473,3.473,3.473,13.891,24.308,10.418,10.418,13.891,3.473,0.0,20.836
C2011-07_25,Final agreement with supplier,2010-06-14 08:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,200.729,200.729,125.12,0.0,0.0,0.626,2.515,5.13,1.924,1.283,5.13,3.848,3.207,0.0,1.924,0.641,1.283,2.565,2.565,3.207,1.924,1.924,1.924,2.565,3.207,3.207,2.565,1.283,1.283,0.641,0.641,0.641,2.565,4.489,1.924,1.924,2.565,0.641,0.0,3.848
C2011-07_26,Signing contract,2010-06-14 13:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,29668.817,29668.817,373.52,18120.0,0.0,92.468,371.72,758.308,284.366,189.577,758.308,568.731,473.943,0.0,284.366,94.789,189.577,379.154,379.154,473.943,284.366,284.366,284.366,379.154,473.943,473.943,379.154,189.577,189.577,94.789,94.789,94.789,379.154,663.52,284.366,284.366,379.154,94.789,0.0,568.731
C2011-07_27,Information session,2011-01-06 08:00:00,0,0,0,2,0.0,0.2,0.0,0.05,0.0,1.25,1938.227,1938.227,1208.16,0.0,0.0,6.041,24.284,49.539,18.577,12.385,49.539,37.155,30.962,0.0,18.577,6.192,12.385,24.77,24.77,30.962,18.577,18.577,18.577,24.77,30.962,30.962,24.77,12.385,12.385,6.192,6.192,6.192,24.77,43.347,18.577,18.577,24.77,6.192,0.0,37.155
C2011-07_28,Explanation project implementation to staff,2011-01-06 15:00:00,0,0,0,2,0.0,0.2,0.0,0.05,0.0,1.25,8342.007,8342.007,5199.84,0.0,0.0,25.999,104.517,213.214,79.955,53.304,213.214,159.911,133.259,0.0,79.955,26.652,53.304,106.607,106.607,133.259,79.955,79.955,79.955,106.607,133.259,133.259,106.607,53.304,53.304,26.652,26.652,26.652,106.607,186.562,79.955,79.955,106.607,26.652,0.0,159.911
C2011-07_29,Installation transport system,2011-01-07 08:00:00,0,0,6,0,0.0,0.2,0.0,0.05,0.0,1.25,4253.782,4253.782,2651.52,0.0,0.0,13.258,53.296,108.723,40.771,27.181,108.723,81.542,67.952,0.0,40.771,13.59,27.181,54.361,54.361,67.952,40.771,40.771,40.771,54.361,67.952,67.952,54.361,27.181,27.181,13.59,13.59,13.59,54.361,95.133,40.771,40.771,54.361,13.59,0.0,81.542
C2011-07_30,Installation DACS,2011-01-07 08:00:00,0,0,6,0,0.0,0.2,0.0,0.05,0.0,1.25,4253.782,4253.782,2651.52,0.0,0.0,13.258,53.296,108.723,40.771,27.181,108.723,81.542,67.952,0.0,40.771,13.59,27.181,54.361,54.361,67.952,40.771,40.771,40.771,54.361,67.952,67.952,54.361,27.181,27.181,13.59,13.59,13.59,54.361,95.133,40.771,40.771,54.361,13.59,0.0,81.542
C2011-07_31,Training coordinator,2011-01-10 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,2005.734,2005.734,250.24,1000.0,0.0,6.251,25.13,51.265,19.224,12.816,51.265,38.449,32.041,0.0,19.224,6.408,12.816,25.632,25.632,32.041,19.224,19.224,19.224,25.632,32.041,32.041,25.632,12.816,12.816,6.408,6.408,6.408,25.632,44.857,19.224,19.224,25.632,6.408,0.0,38.449
C2011-07_32,Train de trainer,2011-01-11 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,2005.734,2005.734,250.24,1000.0,0.0,6.251,25.13,51.265,19.224,12.816,51.265,38.449,32.041,0.0,19.224,6.408,12.816,25.632,25.632,32.041,19.224,19.224,19.224,25.632,32.041,32.041,25.632,12.816,12.816,6.408,6.408,6.408,25.632,44.857,19.224,19.224,25.632,6.408,0.0,38.449
C2011-07_33,Training rapportage,2011-06-21 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,1203.593,1203.593,250.24,500.0,0.0,3.751,15.08,30.763,11.536,7.691,30.763,23.072,19.227,0.0,11.536,3.845,7.691,15.381,15.381,19.227,11.536,11.536,11.536,15.381,19.227,19.227,15.381,7.691,7.691,3.845,3.845,3.845,15.381,26.917,11.536,11.536,15.381,3.845,0.0,23.072
C2011-07_34,Surveying the required functionalities,2011-01-07 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,7273.428,7273.428,4533.76,0.0,0.0,22.669,91.129,185.902,69.713,46.476,185.902,139.427,116.189,0.0,69.713,23.238,46.476,92.951,92.951,116.189,69.713,69.713,69.713,92.951,116.189,116.189,92.951,46.476,46.476,23.238,23.238,23.238,92.951,162.665,69.713,69.713,92.951,23.238,0.0,139.427
C2011-07_35,Creating codes,2011-02-11 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.1,1.35,1511.875,1511.875,942.4,0.0,0.0,4.712,18.942,38.642,14.491,9.661,38.642,28.982,24.151,0.0,14.491,4.83,9.661,19.321,19.321,24.151,14.491,14.491,14.491,19.321,24.151,24.151,19.321,9.661,9.661,4.83,4.83,4.83,19.321,33.812,14.491,14.491,19.321,4.83,0.0,28.982
C2011-07_36,Registration data about employees,2011-01-17 08:00:00,0,0,4,0,0.0,0.2,0.0,0.05,0.0,1.25,1605.82,1605.82,1000.96,0.0,0.0,5.005,20.119,41.043,15.391,10.261,41.043,30.783,25.652,0.0,15.391,5.13,10.261,20.522,20.522,25.652,15.391,15.391,15.391,20.522,25.652,25.652,20.522,10.261,10.261,5.13,5.13,5.13,20.522,35.913,15.391,15.391,20.522,5.13,0.0,30.783
C2011-07_37,Registration hospital data,2011-02-15 08:00:00,0,0,6,0,0.0,0.2,0.0,0.05,0.0,1.25,2408.736,2408.736,1501.44,0.0,0.0,7.507,30.179,61.565,23.087,15.391,61.565,46.174,38.478,0.0,23.087,7.696,15.391,30.783,30.783,38.478,23.087,23.087,23.087,30.783,38.478,38.478,30.783,15.391,15.391,7.696,7.696,7.696,30.783,53.869,23.087,23.087,30.783,7.696,0.0,46.174
C2011-07_38,Training team 1,2011-02-24 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,7674.882,7674.882,4784.0,0.0,0.0,23.92,96.158,196.163,73.561,49.041,196.163,147.122,122.602,0.0,73.561,24.52,49.041,98.082,98.082,122.602,73.561,73.561,73.561,98.082,122.602,122.602,98.082,49.041,49.041,24.52,24.52,24.52,98.082,171.643,73.561,73.561,98.082,24.52,0.0,147.122
C2011-07_39,Training team 2,2011-02-28 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,7674.882,7674.882,4784.0,0.0,0.0,23.92,96.158,196.163,73.561,49.041,196.163,147.122,122.602,0.0,73.561,24.52,49.041,98.082,98.082,122.602,73.561,73.561,73.561,98.082,122.602,122.602,98.082,49.041,49.041,24.52,24.52,24.52,98.082,171.643,73.561,73.561,98.082,24.52,0.0,147.122
C2011-07_40,Training team 3,2011-03-02 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,14452.394,14452.394,9008.64,0.0,0.0,45.043,181.074,369.39,138.521,92.348,369.39,277.043,230.869,0.0,138.521,46.174,92.348,184.695,184.695,230.869,138.521,138.521,138.521,184.695,230.869,230.869,184.695,92.348,92.348,46.174,46.174,46.174,184.695,323.216,138.521,138.521,184.695,46.174,0.0,277.043
C2011-07_41,Training team 4,2011-03-04 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,13649.486,13649.486,8508.16,0.0,0.0,42.541,171.014,348.869,130.826,87.217,348.869,261.651,218.043,0.0,130.826,43.609,87.217,174.434,174.434,218.043,130.826,130.826,130.826,174.434,218.043,218.043,174.434,87.217,87.217,43.609,43.609,43.609,174.434,305.26,130.826,130.826,174.434,43.609,0.0,261.651
C2011-07_42,Training team 5,2011-03-08 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,13649.486,13649.486,8508.16,0.0,0.0,42.541,171.014,348.869,130.826,87.217,348.869,261.651,218.043,0.0,130.826,43.609,87.217,174.434,174.434,218.043,130.826,130.826,130.826,174.434,218.043,218.043,174.434,87.217,87.217,43.609,43.609,43.609,174.434,305.26,130.826,130.826,174.434,43.609,0.0,261.651
C2011-07_43,Training team 6,2011-03-10 08:00:00,0,0,2,0,0.0,0.2,0.0,0.05,0.0,1.25,13649.486,13649.486,8508.16,0.0,0.0,42.541,171.014,348.869,130.826,87.217,348.869,261.651,218.043,0.0,130.826,43.609,87.217,174.434,174.434,218.043,130.826,130.826,130.826,174.434,218.043,218.043,174.434,87.217,87.217,43.609,43.609,43.609,174.434,305.26,130.826,130.826,174.434,43.609,0.0,261.651
C2011-07_44,Check-up by PC,2011-02-23 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,401.456,401.456,250.24,0.0,0.0,1.251,5.03,10.261,3.848,2.565,10.261,7.696,6.413,0.0,3.848,1.283,2.565,5.13,5.13,6.413,3.848,3.848,3.848,5.13,6.413,6.413,5.13,2.565,2.565,1.283,1.283,1.283,5.13,8.978,3.848,3.848,5.13,1.283,0.0,7.696
C2011-07_45,Check-up by ICT committee,2011-03-10 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,1772.412,1772.412,1104.8,0.0,0.0,5.524,22.206,45.301,16.988,11.325,45.301,33.976,28.313,0.0,16.988,5.663,11.325,22.651,22.651,28.313,16.988,16.988,16.988,22.651,28.313,28.313,22.651,11.325,11.325,5.663,5.663,5.663,22.651,39.639,16.988,16.988,22.651,5.663,0.0,33.976
C2011-07_46,Live pilot period,2011-03-14 08:00:00,0,0,71,0,0.0,0.2,0.0,0.05,0.0,1.25,802.138,802.138,0.0,500.0,0.0,2.5,10.05,20.502,7.688,5.125,20.502,15.376,12.814,0.0,7.688,2.563,5.125,10.251,10.251,12.814,7.688,7.688,7.688,10.251,12.814,12.814,10.251,5.125,5.125,2.563,2.563,2.563,10.251,17.939,7.688,7.688,10.251,2.563,0.0,15.376
C2011-07_47,Discussing project with board,2011-06-22 08:00:00,0,0,0,2,0.0,0.2,0.0,0.05,0.0,1.25,1495.128,1495.128,931.96,0.0,0.0,4.66,18.732,38.214,14.33,9.554,38.214,28.661,23.884,0.0,14.33,4.777,9.554,19.107,19.107,23.884,14.33,14.33,14.33,19.107,23.884,23.884,19.107,9.554,9.554,4.777,4.777,4.777,19.107,33.437,14.33,14.33,19.107,4.777,0.0,28.661
C2011-07_48,Discussing project with head nurses,2011-06-28 13:00:00,0,0,0,4,0.0,0.2,0.0,0.05,0.0,1.25,13248.032,13248.032,8257.92,0.0,0.0,41.29,165.984,338.608,126.978,84.652,338.608,253.956,211.63,0.0,126.978,42.326,84.652,169.304,169.304,211.63,126.978,126.978,126.978,169.304,211.63,211.63,169.304,84.652,84.652,42.326,42.326,42.326,169.304,296.282,126.978,126.978,169.304,42.326,0.0,253.956
C2011-07_49,Enrollment of the entire project,2011-06-29 08:00:00,0,0,1,0,0.0,0.2,0.0,0.05,0.0,1.25,401.456,401.456,250.24,0.0,0.0,1.251,5.03,10.261,3.848,2.565,10.261,7.696,6.413,0.0,3.848,1.283,2.565,5.13,5.13,6.413,3.848,3.848,3.848,5.13,6.413,6.413,5.13,2.565,2.565,1.283,1.283,1.283,5.13,8.978,3.848,3.848,5.13,1.283,0.0,7.696
